         35172065 function calls (35169339 primitive calls) in 23.064 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1680000    5.211    0.000    7.853    0.000 test.py:92(getNeighborCount)
 19840000    4.013    0.000    4.013    0.000 test.py:107(isAlive)
      160    3.361    0.021    6.425    0.040 test.py:138(draw_cells)
        1    2.333    2.333    2.333    2.333 {pygame.display.set_mode}
  8080202    1.972    0.000    2.062    0.000 test.py:84(iterate)
      160    1.232    0.008    1.232    0.008 {pygame.display.flip}
       42    0.937    0.022   11.457    0.273 test.py:119(calculateNextGeneration)
       43    0.916    0.021    8.938    0.208 test.py:29(makeMatrix)
  1680000    0.768    0.000    1.179    0.000 test.py:110(decide)
  1678151    0.411    0.000    0.411    0.000 test.py:73(kill)
        1    0.340    0.340    0.340    0.340 {pygame.base.init}
      160    0.264    0.002    0.365    0.002 test.py:124(draw_grid)
      161    0.169    0.001    0.169    0.001 {pygame.event.poll}
  1732426    0.147    0.000    0.147    0.000 {method 'append' of 'list' objects}
    49584    0.109    0.000    0.109    0.000 {range}
      161    0.068    0.000    0.068    0.000 {pygame.display.set_caption}
   133733    0.056    0.000    0.078    0.000 error.py:182(glCheckError)
     1343    0.051    0.000    0.058    0.000 test.py:153(drawCell)
      160    0.051    0.000    0.175    0.001 test.py:259(drawText)
      160    0.035    0.000    0.035    0.000 exceptional.py:48(glBegin)
      160    0.033    0.000    0.033    0.000 {method 'render' of 'pygame.font.Font' objects}
      462    0.026    0.000    0.026    0.000 {nt.stat}
       12    0.022    0.002    0.413    0.034 __init__.py:1(<module>)
      160    0.018    0.000    0.018    0.000 {pygame.image.tostring}
      675    0.017    0.000    0.021    0.000 baseplatform.py:288(nullFunction)
        1    0.016    0.016    0.022    0.022 __init__.py:25(<module>)
      167    0.013    0.000    0.013    0.000 {open}
   128160    0.012    0.000    0.012    0.000 error.py:211(nullGetError)
       49    0.012    0.000    0.012    0.000 {imp.find_module}
        1    0.011    0.011   19.936   19.936 test.py:233(gameLoop)
     5573    0.010    0.000    0.010    0.000 win32.py:101(safeGetError)
      160    0.010    0.000    6.984    0.044 test.py:143(draw)
      160    0.010    0.000    0.012    0.000 test.py:202(draw_cursor)
     2011    0.008    0.000    0.010    0.000 ntpath.py:164(split)
      348    0.008    0.000    0.010    0.000 wrapper.py:1386(wrapper)
3930/1965    0.008    0.000    0.011    0.000 constant.py:13(__new__)
      452    0.007    0.000    0.007    0.000 __init__.py:119(WINFUNCTYPE)
        1    0.007    0.007    0.022    0.022 GL_4_3.py:9(<module>)
        1    0.007    0.007   23.065   23.065 {execfile}
      160    0.007    0.000    0.181    0.001 test.py:266(write)
     1089    0.006    0.000    0.056    0.000 baseplatform.py:183(createBaseFunction)
     1089    0.006    0.000    0.028    0.000 baseplatform.py:122(constructFunction)
      273    0.006    0.000    0.008    0.000 function_base.py:2945(add_newdoc)
        1    0.006    0.006   23.058   23.058 test.py:2(<module>)
        1    0.006    0.006    0.046    0.046 win32.py:1(<module>)
        1    0.006    0.006    0.007    0.007 __init__.py:4(<module>)
    17860    0.005    0.000    0.005    0.000 {isinstance}
        1    0.005    0.005    0.010    0.010 __init__.py:24(<module>)
      160    0.005    0.000    0.017    0.000 wrapper.py:780(wrapperCall)
        1    0.005    0.005    0.099    0.099 __init__.py:106(<module>)
        1    0.005    0.005    0.005    0.005 chebyshev.py:87(<module>)
        1    0.005    0.005    0.006    0.006 polynomial.py:55(<module>)
      675    0.004    0.000    0.004    0.000 baseplatform.py:338(__init__)
       62    0.004    0.000    0.016    0.000 __init__.py:47(unpack_constants)
      238    0.004    0.000    0.005    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.004    0.004    0.005    0.005 hermite.py:59(<module>)
   119/40    0.004    0.000    0.010    0.000 sre_parse.py:379(_parse)
        1    0.004    0.004    0.005    0.005 hermite_e.py:59(<module>)
       13    0.004    0.000    0.152    0.012 {__import__}
        1    0.004    0.004    0.004    0.004 legendre.py:83(<module>)
        1    0.004    0.004    0.004    0.004 laguerre.py:59(<module>)
      324    0.003    0.000    0.011    0.000 pkg_resources.py:1396(_setup_prefix)
        1    0.003    0.003    0.003    0.003 linalg.py:10(<module>)
    40000    0.003    0.000    0.003    0.000 test.py:47(empty)
        1    0.003    0.003    0.053    0.053 pkgdata.py:18(<module>)
       22    0.003    0.000    0.003    0.000 {nt.listdir}
     2122    0.003    0.000    0.006    0.000 {hasattr}
3350/3309    0.003    0.000    0.003    0.000 {getattr}
        1    0.003    0.003    0.009    0.009 GL_4_0.py:9(<module>)
        1    0.003    0.003    0.008    0.008 GL_4_2.py:9(<module>)
        1    0.003    0.003    0.003    0.003 __init__.py:88(<module>)
        1    0.003    0.003    0.206    0.206 GL_1_1.py:9(<module>)
   239/37    0.003    0.000    0.006    0.000 sre_compile.py:32(_compile)
